Model,Parameters,Model Size (MB),ONNX Size (MB),TorchScript Size (MB),Mean CPU Latency (ms),Mean GPU Latency (ms),Max CPU Throughput (samples/s),Max GPU Throughput (samples/s),model
banana_leaf_cnn,205191,0.7994098663330078,0.7838582992553711,0.8312692642211914,115.23496103286743,3.392439842224121,250.37418348130694,3831.018128426624,banana_leaf_cnn
resnet50,23522375,90.03722953796387,89.65499782562256,90.2429428100586,368.56851148605347,14.288042068481445,42.656354489497446,984.8839403010221,resnet50
mobilenet_v3_large,4210999,16.263418197631836,16.057074546813965,16.59809684753418,71.56609678268433,7.818646430969238,246.58237872137727,3479.3543150608407,mobilenet_v3_large
efficientnet_b3,10706991,41.381160736083984,40.80038356781006,42.074612617492676,306.93660020828247,19.035058975219727,65.12649679934387,1036.0119272293891,efficientnet_b3
densenet121,6961031,27.139546394348145,26.942415237426758,27.728768348693848,343.7624282836914,23.241031169891357,54.46674474212924,898.1598987234297,densenet121
vgg16,134289223,512.2843341827393,512.2812662124634,512.3419389724731,783.8971567153931,24.252790451049805,18.040179177952833,530.7614443963008,vgg16
