class,fpr,tpr,auc
banana_healthy_leaf,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
black_sigatoka,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,1.0","0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,1.0,1.0",0.9972451790633609
yellow_sigatoka,"0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,1.0","0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0",0.997245179063361
panama_disease,"0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.6818181818181818,0.696969696969697,0.696969696969697,0.7575757575757576,0.7575757575757576,0.7727272727272727,0.7727272727272727,1.0","0.0,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.6859504132231404
moko_disease,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,1.0","0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9986225895316805
insect_pest,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
bract_mosaic_virus,"0.0,0.030303030303030304,0.06060606060606061,1.0","0.0,1.0,1.0,1.0",0.9848484848484849
