batch_size,device,mean_latency,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,throughput
1,cpu,13.280634880065918,0.2623012467190793,12.990236282348633,14.321565628051758,13.789868354797363,14.28781270980835,75.29760504906197
1,cuda,7.9885149002075195,2.685021948629331,6.891965866088867,32.01436996459961,10.056281089782715,10.792989730835071,125.17971268652485
4,cpu,24.30431604385376,0.45100020041899475,23.815393447875977,26.148080825805664,25.13141632080078,25.512912273406986,164.5798216572956
4,cuda,7.314856052398682,0.2135432305381742,6.9408416748046875,7.809877395629883,7.4863433837890625,7.605943679809571,546.8323602469693
8,cpu,32.44351863861084,1.1329523656292144,30.120372772216797,34.076690673828125,33.8631272315979,33.995022773742676,246.58237872137727
8,cuda,7.089965343475342,0.1125156585080306,7.0018768310546875,7.670402526855469,7.295393943786621,7.516036033630372,1128.3553039313701
16,cpu,83.05388689041138,5.4574675661562,73.49705696105957,104.54654693603516,94.33702230453491,96.14395856857304,192.64601090990251
16,cuda,7.502787113189697,0.20132967044311847,7.326841354370117,9.106636047363281,7.71791934967041,8.216550350189214,2132.5408489696356
32,cpu,204.74812746047974,7.637790870052126,185.83154678344727,232.88798332214355,216.5990948677063,222.9469227790833,156.28958563333677
32,cuda,9.197108745574951,1.715770875254707,9.009122848510742,26.268720626831055,9.033966064453125,9.219720363617032,3479.3543150608407
