batch_size,device,mean_latency,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,throughput
1,cpu,70.71626663208008,0.7542968334053288,68.9229965209961,72.4489688873291,71.88863754272461,72.2093939781189,14.141018009374877
1,cuda,3.5559606552124023,1.2740528895031458,3.4186840057373047,16.23249053955078,3.436923027038574,3.5881280899048504,281.2179596346711
4,cpu,221.72728776931763,3.0109128209665323,216.2628173828125,231.5373420715332,227.42700576782227,228.27440261840823,18.040179177952833
4,cuda,9.70522165298462,6.361273823030641,9.035825729370117,72.9985237121582,9.088349342346191,9.877734184265464,412.14926799429577
8,cpu,520.2076578140259,4.240849635530737,507.78746604919434,532.5214862823486,526.8738508224487,532.0803380012512,15.378474114773601
8,cuda,16.756653785705566,12.18952510314429,15.488624572753906,138.04030418395996,15.566694736480713,17.07621812820497,477.4222886209227
16,cpu,1060.2900671958923,9.468169699982532,1002.8765201568604,1075.3846168518066,1071.0407137870789,1072.778561115265,15.090210212300276
16,cuda,30.955376625061035,24.30719934180039,28.458833694458008,272.8087902069092,28.572380542755127,31.047022342683135,516.8730522582829
32,cpu,2046.5445041656494,29.01901741642932,1934.7498416900635,2107.452869415283,2088.953757286072,2096.789071559906,15.6361124494803
32,cuda,60.2907395362854,52.63480901780875,54.91352081298828,583.9998722076416,55.21451234817505,60.65119743347439,530.7614443963008
