batch_size,device,mean_latency,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,throughput
1,cpu,51.910390853881836,0.37204161903661526,51.38039588928223,53.23934555053711,52.603769302368164,53.01605701446533,19.263965914161876
1,cuda,20.258753299713135,0.41299614837176407,19.684314727783203,21.438121795654297,20.79247236251831,21.09280347824097,49.36137901507296
4,cpu,103.8280439376831,3.9008769570237725,96.5731143951416,107.81431198120117,107.45019912719727,107.74963855743408,38.52523700052341
4,cuda,20.11867046356201,0.38022635060293797,19.51742172241211,21.57878875732422,20.397555828094482,21.08170032501221,198.82029517033004
8,cpu,146.87861442565918,6.284629597567251,139.44649696350098,166.9776439666748,163.1849765777588,164.83397960662842,54.46674474212924
8,cuda,19.81687307357788,0.2018196119262619,19.69432830810547,20.93029022216797,20.1291561126709,20.669236183166504,403.69638389956253
16,cpu,374.31750297546387,7.522650072184392,345.96824645996094,397.68195152282715,386.1304044723511,393.933961391449,42.74446124697723
16,cuda,20.38245916366577,0.4325170820188176,20.162582397460938,22.22752571105957,21.414101123809814,22.1409010887146,784.9886940297155
32,cpu,1041.877589225769,18.750595290946016,986.0529899597168,1092.2911167144775,1071.2629079818726,1078.6683917045593,30.71378089990357
32,cuda,35.62839984893799,5.6139071657040756,35.03060340881348,91.48573875427246,35.09223461151123,35.73889970779448,898.1598987234297
