batch_size,device,mean_latency,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,throughput
1,cpu,33.989055156707764,0.45052591943314463,33.386945724487305,35.655975341796875,34.93293523788452,35.11309623718262,29.42123561215409
1,cuda,15.3605318069458,0.24369385103659832,15.191078186035156,16.493797302246094,15.80810546875,16.333293914794922,65.10191265303817
4,cpu,72.43810892105103,5.540098391835323,66.01524353027344,85.26825904846191,84.49525833129883,85.08037567138672,55.21955307198214
4,cuda,15.647530555725098,0.2653241186989935,15.3961181640625,16.773700714111328,16.2947416305542,16.596438884735107,255.63139089295373
8,cpu,122.8378677368164,5.24679128219779,114.90201950073242,137.0861530303955,133.2218885421753,136.94311618804932,65.12649679934387
8,cuda,16.74278736114502,0.3283369881683931,15.826225280761719,17.309904098510742,16.977858543395996,17.25349187850952,477.8176911310238
16,cpu,372.0113444328308,9.88957194877483,342.68975257873535,395.31922340393066,389.8994207382202,393.39861154556274,43.00944108141011
16,cuda,16.53676986694336,0.2717139365897933,16.043424606323242,17.148256301879883,16.83833599090576,17.143535614013672,967.5408274250493
32,cpu,933.4066247940063,14.469514060812909,905.0631523132324,978.3408641815186,957.6726675033569,972.4315071105957,34.28302215774619
32,cuda,30.887675285339355,6.178339556845382,30.23838996887207,92.3612117767334,30.295240879058838,30.94152212142976,1036.0119272293891
