batch_size,device,mean_latency,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,throughput
1,cpu,38.70870113372803,0.5179855084684866,37.99557685852051,41.8086051940918,39.48624134063721,40.71458578109742,25.833984884826595
1,cuda,6.629698276519775,0.02008125557879042,6.532430648803711,6.6928863525390625,6.66118860244751,6.69194221496582,150.8364269821559
4,cpu,93.7726640701294,7.181846694418656,73.14658164978027,113.56353759765625,103.38550806045532,110.3952479362488,42.656354489497446
4,cuda,6.996610164642334,0.08437985573624461,6.728887557983398,7.371664047241211,7.112312316894531,7.334134578704834,571.7054267528251
8,cpu,193.07488441467285,5.049210932478295,181.47587776184082,208.10294151306152,201.07263326644897,206.8087649345398,41.434700449273116
8,cuda,8.486459255218506,0.567774487788523,8.403539657592773,14.135122299194336,8.44566822052002,8.511602878570585,942.6781840825581
16,cpu,411.25009059906006,18.62871274352513,347.139835357666,457.3402404785156,439.9502396583557,446.5315175056458,38.90576650498267
16,cuda,16.836304664611816,7.150267763852686,16.09659194946289,87.98050880432129,16.131246089935303,16.889781951904663,950.3273027382521
32,cpu,1106.036217212677,24.380801738775954,1052.337884902954,1167.9372787475586,1148.3550429344177,1157.5168323516846,28.932144808642192
32,cuda,32.491137981414795,13.152380532887179,31.141996383666992,163.35558891296387,31.196129322052002,32.54060745239325,984.8839403010221
