epoch,train_loss,val_loss,train_acc,val_acc
1,0.9371782403332847,0.3461817595865819,67.57142857142857,89.6103896103896
2,0.2535262236424855,0.2352269288007315,92.14285714285714,92.20779220779221
3,0.17595903894730977,0.1637978446730352,93.71428571428571,92.20779220779221
4,0.1489126525606428,0.16826129772446372,95.57142857142857,97.40259740259741
5,0.14879341440541405,0.4141185662963174,95.14285714285714,89.6103896103896
6,0.10869301487292563,0.4153542420887328,97.14285714285714,89.6103896103896
7,0.14623316888298307,0.2665784862134364,96.42857142857143,93.50649350649351
8,0.05874786951978292,0.3965142849203828,98.71428571428571,90.9090909090909
9,0.037284831681421826,0.32357475200256747,99.14285714285714,90.9090909090909
10,0.03363465863080429,0.8209072986206452,99.14285714285714,93.50649350649351
11,0.05241685820211257,0.8237688053737987,98.14285714285714,92.20779220779221
12,0.060556044070981446,0.38460578701712866,98.14285714285714,89.6103896103896
13,0.08638842695525714,0.870261913770205,97.0,88.31168831168831
14,0.12455024182796479,0.4242545799775557,96.42857142857143,92.20779220779221
15,0.04825581272797925,0.4770296099898103,98.57142857142857,92.20779220779221
16,0.045579146875866824,0.6009561210483699,98.71428571428571,90.9090909090909
17,0.05478815952582019,0.2922231334370452,98.71428571428571,92.20779220779221
18,0.019942795505215015,0.2869875142955548,99.14285714285714,92.20779220779221
19,0.0322228520882449,0.19287919712724624,99.0,94.8051948051948
20,0.035435370370479564,0.3315794779011956,98.71428571428571,92.20779220779221
21,0.05306109652189272,0.7578097807436988,97.85714285714286,89.6103896103896
22,0.049109369042728626,0.39127020349169706,98.0,89.6103896103896
23,0.047871805213923965,0.32101296681862374,98.71428571428571,94.8051948051948
24,0.06323604555002281,0.3862406879757204,98.28571428571429,92.20779220779221
25,0.0354653144681028,0.40839990146167865,98.71428571428571,92.20779220779221
26,0.14938818173216922,0.42278449484086655,97.14285714285714,93.50649350649351
27,0.0645633863923805,0.7103517184929027,98.28571428571429,93.50649350649351
28,0.06169213713279792,0.2448199037220571,98.0,93.50649350649351
29,0.02099906069093517,0.22597042055099043,99.42857142857143,93.50649350649351
30,0.020350331254303456,0.5706389254781526,99.28571428571429,89.6103896103896
