class,fpr,tpr,auc
banana_healthy_leaf,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
black_sigatoka,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.06060606060606061,0.06060606060606061,0.07575757575757576,0.07575757575757576,0.16666666666666666,0.16666666666666666,0.21212121212121213,0.21212121212121213,0.24242424242424243,0.24242424242424243,1.0","0.0,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9283746556473829
yellow_sigatoka,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
panama_disease,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.09090909090909091,0.09090909090909091,0.10606060606060606,0.10606060606060606,0.21212121212121213,0.21212121212121213,0.2878787878787879,0.2878787878787879,1.0","0.0,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9256198347107438
moko_disease,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.09090909090909091,0.09090909090909091,0.10606060606060606,0.10606060606060606,0.15151515151515152,0.15151515151515152,1.0","0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9462809917355373
insect_pest,"0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.13636363636363635,0.13636363636363635,1.0","0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9848484848484849
bract_mosaic_virus,"0.0,0.015151515151515152,0.045454545454545456,0.045454545454545456,0.06060606060606061,0.06060606060606061,0.07575757575757576,0.07575757575757576,0.09090909090909091,0.09090909090909091,0.15151515151515152,0.15151515151515152,0.16666666666666666,0.16666666666666666,1.0","0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9214876033057852
