,banana_healthy_leaf,black_sigatoka,yellow_sigatoka,panama_disease,moko_disease,insect_pest,bract_mosaic_virus
banana_healthy_leaf,1.0,0.0,0.0,0.0,0.0,0.0,0.0
black_sigatoka,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,0.0
yellow_sigatoka,0.0,0.0,1.0,0.0,0.0,0.0,0.0
panama_disease,0.0,0.2727272727272727,0.0,0.6363636363636364,0.0,0.0,0.09090909090909091
moko_disease,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.0,0.36363636363636365
insect_pest,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.5454545454545454,0.0
bract_mosaic_virus,0.0,0.0,0.0,0.18181818181818182,0.45454545454545453,0.0,0.36363636363636365
