,banana_leaf_cnn,resnet50,mobilenet_v3_large,efficientnet_b3,densenet121,vgg16
banana_healthy_leaf,1.0,1.0,1.0,1.0,1.0,1.0
black_sigatoka,0.45454545454545453,1.0,0.7272727272727273,1.0,1.0,0.5454545454545454
yellow_sigatoka,1.0,0.8181818181818182,1.0,1.0,1.0,1.0
panama_disease,0.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,1.0,0.6363636363636364
moko_disease,0.8181818181818182,1.0,0.6363636363636364,1.0,0.9090909090909091,0.5454545454545454
insect_pest,1.0,1.0,1.0,0.8181818181818182,1.0,0.5454545454545454
bract_mosaic_virus,0.9090909090909091,1.0,1.0,1.0,1.0,0.36363636363636365
