perturbation,accuracy,precision,recall,f1
No Perturbation,0.7792207792207793,0.7435064935064936,0.7792207792207793,0.7442750486228747
Gaussian Blur (kernel=3),0.14285714285714285,0.02095238095238095,0.14285714285714285,0.036544850498338874
Gaussian Blur (kernel=5),0.14285714285714285,0.02095238095238095,0.14285714285714285,0.036544850498338874
Gaussian Blur (kernel=7),0.14285714285714285,0.02095238095238095,0.14285714285714285,0.036544850498338874
Gaussian Blur (kernel=9),0.14285714285714285,0.02095238095238095,0.14285714285714285,0.036544850498338874
Gaussian Blur (kernel=11),0.14285714285714285,0.02095238095238095,0.14285714285714285,0.036544850498338874
