model_name,baseline_accuracy,worst_accuracy,accuracy_drop,relative_drop
banana_leaf_cnn,0.7792207792207793,0.14285714285714285,0.6363636363636365,0.8166666666666668
resnet50,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.8333333333333333
mobilenet_v3_large,0.8441558441558441,0.1038961038961039,0.7402597402597402,0.8769230769230769
efficientnet_b3,0.974025974025974,0.35064935064935066,0.6233766233766234,0.64
densenet121,0.922077922077922,0.07792207792207792,0.8441558441558441,0.9154929577464789
vgg16,0.7662337662337663,0.15584415584415584,0.6103896103896105,0.7966101694915255
