perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Rotation (angle=5°),0.4805194805194805,0.5778443778443779,0.4805194805194805,0.4917072715209362
Rotation (angle=10°),0.4935064935064935,0.6205086580086581,0.4935064935064935,0.4921851555391928
Rotation (angle=15°),0.44155844155844154,0.5299276120704692,0.44155844155844154,0.4524704618689581
Rotation (angle=30°),0.33766233766233766,0.3940576230492197,0.33766233766233766,0.33136612792346054
Rotation (angle=45°),0.35064935064935066,0.3281499202551834,0.35064935064935066,0.31078921078921073
Rotation (angle=90°),0.33766233766233766,0.3047619047619048,0.33766233766233766,0.3092504313818468
