perturbation,accuracy,precision,recall,f1
No Perturbation,0.7662337662337663,0.7547746371275783,0.7662337662337663,0.7443548170256244
Rotation (angle=5°),0.18181818181818182,0.12076969152440849,0.18181818181818182,0.12293233082706767
Rotation (angle=10°),0.18181818181818182,0.10701769885443356,0.18181818181818182,0.1186147186147186
Rotation (angle=15°),0.19480519480519481,0.11736263736263737,0.19480519480519481,0.12675644028103045
Rotation (angle=30°),0.22077922077922077,0.11189273689273689,0.22077922077922077,0.12832430727167568
Rotation (angle=45°),0.22077922077922077,0.15520581113801454,0.22077922077922077,0.13741496598639455
Rotation (angle=90°),0.12987012987012986,0.0529100529100529,0.12987012987012986,0.06373626373626373
