model_name,baseline_accuracy,worst_accuracy,accuracy_drop,relative_drop
banana_leaf_cnn,0.7792207792207793,0.7012987012987013,0.07792207792207795,0.10000000000000003
resnet50,0.8571428571428571,0.8571428571428571,0.0,0.0
mobilenet_v3_large,0.8441558441558441,0.8311688311688312,0.01298701298701288,0.015384615384615259
efficientnet_b3,0.974025974025974,0.961038961038961,0.012987012987012991,0.013333333333333338
densenet121,0.922077922077922,0.922077922077922,0.0,0.0
vgg16,0.7662337662337663,0.5974025974025974,0.1688311688311689,0.2203389830508475
