perturbation,accuracy,precision,recall,f1
No Perturbation,0.7792207792207793,0.7435064935064936,0.7792207792207793,0.7442750486228747
Contrast (factor=0.5),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
Contrast (factor=0.75),0.16883116883116883,0.04761904761904761,0.16883116883116883,0.07058823529411763
Contrast (factor=1.25),0.15584415584415584,0.08571428571428572,0.15584415584415584,0.09867903070597497
Contrast (factor=1.5),0.15584415584415584,0.1360544217687075,0.15584415584415584,0.11840411840411842
Contrast (factor=2.0),0.15584415584415584,0.13127125850340138,0.15584415584415584,0.10976657329598506
