perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Gaussian Noise (std=0.05),0.8831168831168831,0.8871184371184372,0.8831168831168831,0.881203785862171
Gaussian Noise (std=0.1),0.8831168831168831,0.9071886446886447,0.8831168831168831,0.879398619351122
Gaussian Noise (std=0.2),0.8571428571428571,0.8799783549783549,0.8571428571428571,0.850459138384835
Gaussian Noise (std=0.3),0.8051948051948052,0.8627933470038732,0.8051948051948052,0.8022814904393851
Gaussian Noise (std=0.5),0.38961038961038963,0.5772064670023854,0.38961038961038963,0.38308596165739023
