perturbation,accuracy,precision,recall,f1
No Perturbation,0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=90),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=80),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=70),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=60),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=50),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=40),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=30),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=20),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
JPEG Compression (quality=10),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
