perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Gaussian Blur (kernel=3),0.19480519480519481,0.2329192546583851,0.19480519480519481,0.14995125510765528
Gaussian Blur (kernel=5),0.2077922077922078,0.30753968253968256,0.2077922077922078,0.13786574870912222
Gaussian Blur (kernel=7),0.2077922077922078,0.27927565392354126,0.2077922077922078,0.13356562137049943
Gaussian Blur (kernel=9),0.16883116883116883,0.1267123287671233,0.16883116883116883,0.09115646258503401
Gaussian Blur (kernel=11),0.12987012987012986,0.018796992481203006,0.12987012987012986,0.032840722495894904
