perturbation,accuracy,precision,recall,f1
No Perturbation,0.7792207792207793,0.7435064935064936,0.7792207792207793,0.7442750486228747
Gaussian Noise (std=0.05),0.45454545454545453,0.5157894736842106,0.45454545454545453,0.40629892982834154
Gaussian Noise (std=0.1),0.4025974025974026,0.3598306455449312,0.4025974025974026,0.3533647168941286
Gaussian Noise (std=0.2),0.4155844155844156,0.3857543017206883,0.4155844155844156,0.360609495787705
Gaussian Noise (std=0.3),0.38961038961038963,0.427056277056277,0.38961038961038963,0.33888373531230676
Gaussian Noise (std=0.5),0.2597402597402597,0.29743589743589743,0.2597402597402597,0.19551020408163267
