perturbation,accuracy,precision,recall,f1
No Perturbation,0.7792207792207793,0.7435064935064936,0.7792207792207793,0.7442750486228747
Occlusion (size=10px),0.7792207792207793,0.7387136672850958,0.7792207792207793,0.7466770929299533
Occlusion (size=20px),0.7662337662337663,0.7273417059131344,0.7662337662337663,0.7335623608711219
Occlusion (size=30px),0.7792207792207793,0.7387136672850958,0.7792207792207793,0.7466770929299533
Occlusion (size=40px),0.7532467532467533,0.7200061842918986,0.7532467532467533,0.7214597016256055
Occlusion (size=50px),0.7012987012987013,0.6979766265480551,0.7012987012987013,0.6590322789732953
