perturbation,accuracy,precision,recall,f1
No Perturbation,0.7662337662337663,0.7547746371275783,0.7662337662337663,0.7443548170256244
Contrast (factor=0.5),0.15584415584415584,0.07191448007774538,0.15584415584415584,0.08908730158730158
Contrast (factor=0.75),0.23376623376623376,0.12179284130503644,0.23376623376623376,0.151015651015651
Contrast (factor=1.25),0.16883116883116883,0.10952380952380952,0.16883116883116883,0.10248560962846677
Contrast (factor=1.5),0.14285714285714285,0.08140161725067385,0.14285714285714285,0.07589285714285714
Contrast (factor=2.0),0.16883116883116883,0.09788359788359788,0.16883116883116883,0.09437621202327083
