perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Brightness (factor=0.5),0.4025974025974026,0.40566378066378067,0.4025974025974026,0.3680802120161388
Brightness (factor=0.75),0.44155844155844154,0.4573129251700681,0.44155844155844154,0.43420184778716975
Brightness (factor=1.25),0.4805194805194805,0.5728715728715729,0.4805194805194805,0.4770990151833565
Brightness (factor=1.5),0.5064935064935064,0.6228200371057514,0.5064935064935064,0.5218781218781219
Brightness (factor=2.0),0.35064935064935066,0.39425770308123254,0.35064935064935066,0.3487311629457275
