Model,Total Parameters,Trainable Parameters,Model Size (MB),Accuracy,Parameter Efficiency,Size Efficiency
banana_leaf_cnn,205191,205191,0.8000202178955078,0.7402597402597403,3.6076618382859884,0.9253012907686629
resnet50,23522375,23522375,90.04800605773926,0.8961038961038961,0.038095808612178664,0.009951401872566833
mobilenet_v3_large,4210999,4210999,16.325376510620117,0.8441558441558441,0.20046450834014543,0.051708200641295894
efficientnet_b3,10706991,10706991,41.54599952697754,0.8961038961038961,0.08369334541365506,0.021568957452137327
densenet121,6961031,6961031,27.182581901550293,0.987012987012987,0.14179120693658553,0.03631049436686127
vgg16,134289223,134289223,512.285493850708,0.6623376623376623,0.004932172869431692,0.0012929073149408423
