class,fpr,tpr,auc
banana_healthy_leaf,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
black_sigatoka,"0.0,0.0,0.0,1.0","0.0,0.18181818181818182,1.0,1.0",1.0
yellow_sigatoka,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
panama_disease,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,1.0","0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,1.0,1.0",0.9972451790633609
moko_disease,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
insect_pest,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
bract_mosaic_virus,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
