class,precision,recall,avg_precision
banana_healthy_leaf,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4228699375307068
black_sigatoka,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0",0.41537474191422247
yellow_sigatoka,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4228699375307068
panama_disease,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,0.9090909090909091,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4204223850831544
moko_disease,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4228699375307068
insect_pest,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4228699375307068
bract_mosaic_virus,"0.14285714285714285,0.14473684210526316,0.14666666666666667,0.14864864864864866,0.1506849315068493,0.1527777777777778,0.15492957746478872,0.15714285714285714,0.15942028985507245,0.16176470588235295,0.16417910447761194,0.16666666666666666,0.16923076923076924,0.171875,0.1746031746031746,0.1774193548387097,0.18032786885245902,0.18333333333333332,0.1864406779661017,0.1896551724137931,0.19298245614035087,0.19642857142857142,0.2,0.2037037037037037,0.20754716981132076,0.21153846153846154,0.21568627450980393,0.22,0.22448979591836735,0.22916666666666666,0.23404255319148937,0.2391304347826087,0.24444444444444444,0.25,0.2558139534883721,0.2619047619047619,0.2682926829268293,0.275,0.28205128205128205,0.2894736842105263,0.2972972972972973,0.3055555555555556,0.3142857142857143,0.3235294117647059,0.3333333333333333,0.34375,0.3548387096774194,0.36666666666666664,0.3793103448275862,0.39285714285714285,0.4074074074074074,0.4230769230769231,0.44,0.4583333333333333,0.4782608695652174,0.5,0.5238095238095238,0.55,0.5789473684210527,0.6111111111111112,0.6470588235294118,0.6875,0.7333333333333333,0.7857142857142857,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0",0.4228699375307068
