class,precision,recall,f1_score,support
banana_healthy_leaf,0.85,1.0,0.92,11
black_sigatoka,1.0,0.73,0.84,11
yellow_sigatoka,1.0,1.0,1.0,11
panama_disease,0.6,0.55,0.57,11
moko_disease,1.0,0.64,0.78,11
insect_pest,0.92,1.0,0.96,11
bract_mosaic_virus,0.69,1.0,0.81,11
