class,fpr,tpr,auc
banana_healthy_leaf,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
black_sigatoka,"0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.045454545454545456,0.045454545454545456,0.06060606060606061,0.06060606060606061,0.19696969696969696,0.19696969696969696,1.0","0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9614325068870523
yellow_sigatoka,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
panama_disease,"0.0,0.015151515151515152,0.06060606060606061,0.06060606060606061,0.13636363636363635,0.13636363636363635,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.19696969696969696,0.19696969696969696,0.21212121212121213,0.21212121212121213,0.22727272727272727,0.22727272727272727,1.0","0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,1.0,1.0",0.8278236914600551
moko_disease,"0.0,0.0,0.0,0.19696969696969696,0.19696969696969696,1.0","0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0",0.9820936639118456
insect_pest,"0.0,0.0,0.0,1.0","0.0,0.09090909090909091,1.0,1.0",1.0
bract_mosaic_virus,"0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.030303030303030304,1.0","0.0,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.8181818181818182,1.0,1.0",0.9903581267217632
