perturbation,accuracy,precision,recall,f1
No Perturbation,0.922077922077922,0.9293206793206793,0.922077922077922,0.9185174728652988
Contrast (factor=0.5),0.12987012987012986,0.018796992481203006,0.12987012987012986,0.032840722495894904
Contrast (factor=0.75),0.09090909090909091,0.08787701126962413,0.09090909090909091,0.07180650037792895
Contrast (factor=1.25),0.1038961038961039,0.18620689655172412,0.1038961038961039,0.06651138716356107
Contrast (factor=1.5),0.15584415584415584,0.2559684251058914,0.15584415584415584,0.12828947368421054
Contrast (factor=2.0),0.2077922077922078,0.2855623100303951,0.2077922077922078,0.17000012346136276
