perturbation,accuracy,precision,recall,f1
No Perturbation,0.8571428571428571,0.8894841269841269,0.8571428571428571,0.8351516898100749
Contrast (factor=0.5),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
Contrast (factor=0.75),0.15584415584415584,0.16353383458646614,0.15584415584415584,0.05993431855500821
Contrast (factor=1.25),0.15584415584415584,0.12202034964183302,0.15584415584415584,0.10985255346157602
Contrast (factor=1.5),0.19480519480519481,0.1474052263525948,0.19480519480519481,0.15244474823422194
Contrast (factor=2.0),0.23376623376623376,0.1662634750870045,0.23376623376623376,0.1814229249011858
