perturbation,accuracy,precision,recall,f1
No Perturbation,0.8571428571428571,0.8894841269841269,0.8571428571428571,0.8351516898100749
Gaussian Blur (kernel=3),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
Gaussian Blur (kernel=5),0.16883116883116883,0.05019599303135889,0.16883116883116883,0.0771786353181702
Gaussian Blur (kernel=7),0.15584415584415584,0.04177519535163294,0.15584415584415584,0.06552094522019333
Gaussian Blur (kernel=9),0.15584415584415584,0.037739872068230276,0.15584415584415584,0.053898482469911045
Gaussian Blur (kernel=11),0.15584415584415584,0.050396825396825405,0.15584415584415584,0.05572289156626507
