perturbation,accuracy,precision,recall,f1
No Perturbation,0.922077922077922,0.9293206793206793,0.922077922077922,0.9185174728652988
Gaussian Noise (std=0.05),0.6883116883116883,0.7439233385661959,0.6883116883116883,0.6312461433429174
Gaussian Noise (std=0.1),0.7532467532467533,0.8151505136467543,0.7532467532467533,0.7272483352315284
Gaussian Noise (std=0.2),0.7402597402597403,0.8019607843137255,0.7402597402597403,0.7071655328798188
Gaussian Noise (std=0.3),0.7402597402597403,0.7981059090302788,0.7402597402597403,0.706491827500231
Gaussian Noise (std=0.5),0.5974025974025974,0.6796379948553862,0.5974025974025974,0.5690113807760866
