perturbation,accuracy,precision,recall,f1
No Perturbation,0.7792207792207793,0.7435064935064936,0.7792207792207793,0.7442750486228747
Occlusion (size=10px),0.7662337662337663,0.7278911564625851,0.7662337662337663,0.7318409247757074
Occlusion (size=20px),0.7662337662337663,0.7278911564625851,0.7662337662337663,0.7318409247757074
Occlusion (size=30px),0.7532467532467533,0.717817896389325,0.7532467532467533,0.7210512694780429
Occlusion (size=40px),0.7662337662337663,0.7172684458398744,0.7662337662337663,0.7293367346938776
Occlusion (size=50px),0.7272727272727273,0.7027210884353742,0.7272727272727273,0.6945951313353691
