perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Gaussian Noise (std=0.05),0.8961038961038961,0.9045787545787547,0.8961038961038961,0.8961697722567288
Gaussian Noise (std=0.1),0.8571428571428571,0.8710961657390228,0.8571428571428571,0.8541612516767795
Gaussian Noise (std=0.2),0.8701298701298701,0.8963274820417678,0.8701298701298701,0.865692561406847
Gaussian Noise (std=0.3),0.7792207792207793,0.8447148090005233,0.7792207792207793,0.7729554865424431
Gaussian Noise (std=0.5),0.4025974025974026,0.5496825396825397,0.4025974025974026,0.38708647393383583
