perturbation,accuracy,precision,recall,f1
No Perturbation,0.8571428571428571,0.8894841269841269,0.8571428571428571,0.8351516898100749
Rotation (angle=5°),0.15584415584415584,0.06247838118298167,0.15584415584415584,0.07172693638859053
Rotation (angle=10°),0.16883116883116883,0.07432521395655037,0.16883116883116883,0.07678299630354425
Rotation (angle=15°),0.16883116883116883,0.06997881119660979,0.16883116883116883,0.07633053221288516
Rotation (angle=30°),0.16883116883116883,0.06147540983606558,0.16883116883116883,0.07372598162071847
Rotation (angle=45°),0.15584415584415584,0.09649122807017543,0.15584415584415584,0.07923169267707082
Rotation (angle=90°),0.15584415584415584,0.041218637992831535,0.15584415584415584,0.0573385518590998
