perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
Contrast (factor=0.5),0.44155844155844154,0.42024672187715667,0.44155844155844154,0.402687390745772
Contrast (factor=0.75),0.45454545454545453,0.4629818594104308,0.45454545454545453,0.445416376043294
Contrast (factor=1.25),0.4805194805194805,0.6085859542756094,0.4805194805194805,0.4943788041532402
Contrast (factor=1.5),0.4935064935064935,0.5892440892440893,0.4935064935064935,0.49539230284571895
Contrast (factor=2.0),0.4935064935064935,0.5736693689333442,0.4935064935064935,0.5023314376255553
