perturbation,accuracy,precision,recall,f1
No Perturbation,0.7662337662337663,0.7547746371275783,0.7662337662337663,0.7443548170256244
Gaussian Noise (std=0.05),0.45454545454545453,0.5150960150960151,0.45454545454545453,0.450536327383618
Gaussian Noise (std=0.1),0.4155844155844156,0.4718820861678005,0.4155844155844156,0.42230414746543776
Gaussian Noise (std=0.2),0.3246753246753247,0.4756235827664399,0.3246753246753247,0.3360051712992889
Gaussian Noise (std=0.3),0.2987012987012987,0.4920634920634921,0.2987012987012987,0.3042976765174155
Gaussian Noise (std=0.5),0.18181818181818182,0.46240601503759404,0.18181818181818182,0.16419974583239894
