test,baseline_accuracy,worst_accuracy,accuracy_drop,relative_drop
Gaussian Noise,0.974025974025974,0.4025974025974026,0.5714285714285714,0.5866666666666667
Blur,0.974025974025974,0.12987012987012986,0.8441558441558441,0.8666666666666666
Brightness,0.974025974025974,0.35064935064935066,0.6233766233766234,0.64
Contrast,0.974025974025974,0.44155844155844154,0.5324675324675325,0.5466666666666667
Rotation,0.974025974025974,0.33766233766233766,0.6363636363636364,0.6533333333333333
Occlusion,0.974025974025974,0.974025974025974,0.0,0.0
Jpeg Compression,0.974025974025974,0.19480519480519481,0.7792207792207793,0.8
