test,baseline_accuracy,worst_accuracy,accuracy_drop,relative_drop
Gaussian Noise,0.7662337662337663,0.18181818181818182,0.5844155844155845,0.7627118644067797
Blur,0.7662337662337663,0.09090909090909091,0.6753246753246753,0.8813559322033898
Brightness,0.7662337662337663,0.15584415584415584,0.6103896103896105,0.7966101694915255
Contrast,0.7662337662337663,0.14285714285714285,0.6233766233766234,0.8135593220338982
Rotation,0.7662337662337663,0.12987012987012986,0.6363636363636365,0.8305084745762713
Occlusion,0.7662337662337663,0.5714285714285714,0.19480519480519487,0.2542372881355933
Jpeg Compression,0.7662337662337663,0.11688311688311688,0.6493506493506493,0.847457627118644
