test,baseline_accuracy,worst_accuracy,accuracy_drop,relative_drop
Gaussian Noise,0.8441558441558441,0.45454545454545453,0.3896103896103896,0.4615384615384615
Blur,0.8441558441558441,0.12987012987012986,0.7142857142857142,0.8461538461538461
Brightness,0.8441558441558441,0.1038961038961039,0.7402597402597402,0.8769230769230769
Contrast,0.8441558441558441,0.09090909090909091,0.7532467532467532,0.8923076923076922
Rotation,0.8441558441558441,0.16883116883116883,0.6753246753246753,0.8
Occlusion,0.8441558441558441,0.8441558441558441,0.0,0.0
Jpeg Compression,0.8441558441558441,0.23376623376623376,0.6103896103896104,0.7230769230769231
