perturbation,accuracy,precision,recall,f1
No Perturbation,0.7662337662337663,0.7547746371275783,0.7662337662337663,0.7443548170256244
Gaussian Blur (kernel=3),0.1038961038961039,0.045093795093795096,0.1038961038961039,0.06095277719991679
Gaussian Blur (kernel=5),0.1038961038961039,0.049695667740780526,0.1038961038961039,0.06405418480890178
Gaussian Blur (kernel=7),0.09090909090909091,0.045454545454545456,0.09090909090909091,0.05541125541125541
Gaussian Blur (kernel=9),0.1038961038961039,0.05739795918367348,0.1038961038961039,0.06321683445902894
Gaussian Blur (kernel=11),0.11688311688311688,0.06523635095063667,0.11688311688311688,0.0688091328485417
