perturbation,accuracy,precision,recall,f1
No Perturbation,0.922077922077922,0.9293206793206793,0.922077922077922,0.9185174728652988
Rotation (angle=5°),0.1038961038961039,0.1357142857142857,0.1038961038961039,0.07879419373383156
Rotation (angle=10°),0.14285714285714285,0.18452380952380953,0.14285714285714285,0.09123895712131007
Rotation (angle=15°),0.12987012987012986,0.19795918367346937,0.12987012987012986,0.09984694491736747
Rotation (angle=30°),0.16883116883116883,0.2755102040816327,0.16883116883116883,0.11228261228261228
Rotation (angle=45°),0.15584415584415584,0.2732426303854875,0.15584415584415584,0.1084216084216084
Rotation (angle=90°),0.09090909090909091,0.13136288998357964,0.09090909090909091,0.06309011899074012
