perturbation,accuracy,precision,recall,f1
No Perturbation,0.8571428571428571,0.8894841269841269,0.8571428571428571,0.8351516898100749
Brightness (factor=0.5),0.14285714285714285,0.02040816326530612,0.14285714285714285,0.03571428571428571
Brightness (factor=0.75),0.15584415584415584,0.16380952380952382,0.15584415584415584,0.06035437430786268
Brightness (factor=1.25),0.15584415584415584,0.06272577996715928,0.15584415584415584,0.07182003236077039
Brightness (factor=1.5),0.16883116883116883,0.06997881119660979,0.16883116883116883,0.07633053221288516
Brightness (factor=2.0),0.14285714285714285,0.021526418786692758,0.14285714285714285,0.03741496598639456
