Model,Accuracy,Precision,Recall,F1 Score
banana_leaf_cnn,0.7402597402597403,0.6766388373531229,0.7402597402597403,0.6912278720516707
resnet50,0.8961038961038961,0.9214743589743589,0.8961038961038961,0.8875718886588452
mobilenet_v3_large,0.8441558441558441,0.8643315018315019,0.8441558441558441,0.8399021189965943
efficientnet_b3,0.8961038961038961,0.9214743589743589,0.8961038961038961,0.887571888658845
densenet121,0.987012987012987,0.988095238095238,0.987012987012987,0.9869860987873411
vgg16,0.6623376623376623,0.6726525458668315,0.6623376623376623,0.6511818464759641
