model,mean_accuracy,ci_low,ci_high
banana_leaf_cnn,0.7381168831168832,0.6363636363636364,0.8311688311688312
resnet50,0.8942857142857142,0.8181818181818182,0.961038961038961
mobilenet_v3_large,0.8449610389610391,0.7532467532467533,0.922077922077922
efficientnet_b3,0.895103896103896,0.8181818181818182,0.961038961038961
densenet121,0.9869220779220779,0.961038961038961,1.0
vgg16,0.6624675324675324,0.5584415584415584,0.7535714285714283
